Sample	Genus	Species	Info	Fontface
Anthoceros_agrestis	Anthoceros	agrestis	n.a.	3
Anthoceros_angustus	Anthoceros	angustus	n.a.	3
Anthoceros_punctatus	Anthoceros	punctatus	n.a.	3
Ceratodon_purpureus_GG1_1	Ceratodon	purpureus	GG1	3
Ceratodon_purpureus_GG1_2	Ceratodon	purpureus	GG1	3
Ceratodon_purpureus_GG1_3	Ceratodon	purpureus	GG1	3
Ceratodon_purpureus_GG1_4	Ceratodon	purpureus	GG1	3
Ceratodon_purpureus_GG1_5	Ceratodon	purpureus	GG1	3
Ceratodon_purpureus_R40_1	Ceratodon	purpureus	R40	3
Ceratodon_purpureus_R40_3	Ceratodon	purpureus	R40	3
Ceratodon_purpureus_R40_2	Ceratodon	purpureus	R40	3
Ceratodon_purpureus_R40_4	Ceratodon	purpureus	R40	3
Ceratodon_purpureus_R40_5	Ceratodon	purpureus	R40	3
Pm001908g0030	Penium	margaritaceum	n.a.	4
Pm001158g0050	Penium	margaritaceum	n.a.	4
Mapoly0015s0055	Marchantia	polymorpha	n.a.	4
Sphfalx06G044300	Sphagnum	fallax	n.a.	4
Sphmag06G057300	Sphagnum	magellanicum	n.a.	4
Sphfalx09G034600	Sphagnum	fallax	n.a.	4
Sphmag09G077200	Sphagnum	magellanicum	n.a.	4
PpCESA3	Physcomitrium	patens	PpCESA3	4
PpCESA8	Physcomitrium	patens	PpCESA8	4
Foant17125	Fontinalis	antipyretica	n.a.	4
Entjg12777	Entodon	seductrix	n.a.	4
Hypjg10337	Hypnum	curvifolium	n.a.	4
CepurGG1.1G272400	Ceratodon	purpureus	GG1	4
CepurR40.g02225	Ceratodon	purpureus	R40	4
Sphfalx13G080300	Sphagnum	fallax	n.a.	4
Sphmag13G079500	Sphagnum	magellanicum	n.a.	4
Mapoly0076s0014	Marchantia	polymorpha	n.a.	4
PpCESA10	Physcomitrium	patens	PpCESA10	4
PpCESA4	Physcomitrium	patens	PpCESA4	4
PpCESA6	Physcomitrium	patens	PpCESA6	4
PpCESA7	Physcomitrium	patens	PpCESA7	4
CepurGG1.7G024500	Ceratodon	purpureus	GG1	4
CepurR40.g14392	Ceratodon	purpureus	R40	4
CepurGG1.1G272300	Ceratodon	purpureus	GG1	4
Foant02392	Fontinalis	antipyretica	n.a.	4
Entjg12779	Entodon	seductrix	n.a.	4
Hypjg10340	Hypnum	curvifolium	n.a.	4
