Sample	Genus
Anthoceros_agrestis	Anthoceros
Anthoceros_angustus	Anthoceros
Anthoceros_punctatus	Anthoceros
Ceratodon_purpureus_GG1_1	Ceratodon
Ceratodon_purpureus_GG1_2	Ceratodon
Ceratodon_purpureus_GG1_3	Ceratodon
Ceratodon_purpureus_GG1_4	Ceratodon
Ceratodon_purpureus_GG1_5	Ceratodon
Ceratodon_purpureus_R40_1	Ceratodon
Ceratodon_purpureus_R40_3	Ceratodon
Ceratodon_purpureus_R40_2	Ceratodon
Ceratodon_purpureus_R40_4	Ceratodon
Ceratodon_purpureus_R40_5	Ceratodon
Penium_margaritaceum001908g0030	Penium
Penium_margaritaceum001158g0050	Penium
Marchantia_polymorpha0015s0055	Marchantia
Sphagnum_fallax06G044300	Sphagnum
Sphagnum_magellanicum06G057300	Sphagnum
Sphagnum_fallax09G034600	Sphagnum
Sphagnum_magellanicum09G077200	Sphagnum
Physcomitrium_patens_pPCESA3	Physcomitrium
Physcomitrium_patens_pPCESA8	Physcomitrium
Fontinalis_antipyretica17125	Fontinalis
Entodon_seductrixjg12777	Entodon
Hypnum_curvifoliumjg10337	Hypnum
Ceratodon_purpureus_GG1.1G272400	Ceratodon
Ceratodon_purpureus_R40.g02225	Ceratodon
Sphagnum_fallax13G080300	Sphagnum
Sphagnum_magellanicum13G079500	Sphagnum
Marchantia_polymorpha0076s0014	Marchantia
Physcomitrium_patens_pPCESA10	Physcomitrium
Physcomitrium_patens_pPCESA4	Physcomitrium
Physcomitrium_patens_pPCESA6	Physcomitrium
Physcomitrium_patens_pPCESA7	Physcomitrium
Ceratodon_purpureus_GG1.7G024500	Ceratodon
Ceratodon_purpureus_R40.g14392	Ceratodon
Ceratodon_purpureus_GG1.1G272300	Ceratodon
Fontinalis_antipyretica02392	Fontinalis
Entodon_seductrixjg12779	Entodon
Hypnum_curvifoliumjg10340	Hypnum
Physcomitrium_patens_pPCESA1	Physcomitrium
Fontinalis_antipyretica03732	Fontinalis
Hypnum_curvifoliumjg25231	Hypnum
Entodon_seductrixjg16709	Entodon
Ceratodon_purpureus_GG1.10G096400	Ceratodon
Ceratodon_purpureus_R40.g11450	Ceratodon
Physcomitrium_patens_pPCESA5	Physcomitrium
Ceratodon_purpureus_GG1.6G157300	Ceratodon
Entodon_seductrixjg6929	Entodon
Hypnum_curvifoliumjg27744	Hypnum
Fontinalis_antipyretica15610	Fontinalis
Anthoceros_agrestis.Sc2ySwM228	Anthoceros
Anthoceros_angustus012329	Anthoceros
Takakia_lepidozioides4c03737	Takakia
Takakia_lepidozioides3c00983	Takakia
Sphagnum_fallax17G024100	Sphagnum
Sphagnum_magellanicum17G023300	Sphagnum
Sphagnum_fallax19G037000	Sphagnum
Sphagnum_magellanicum19G038600	Sphagnum
Sphagnum_fallax16G018300	Sphagnum
Sphagnum_magellanicum16G006100	Sphagnum
Entodon_seductrix_5	Entodon
Entodon_seductrix_1	Entodon
Entodon_seductrix_2	Entodon
Entodon_seductrix_6	Entodon
Entodon_seductrix_8	Entodon
Entodon_seductrix_3	Entodon
Entodon_seductrix_4	Entodon
Entodon_seductrix_7	Entodon
Fontinalis_antipyretica_3	Fontinalis
Fontinalis_antipyretica_2	Fontinalis
Fontinalis_antipyretica_1	Fontinalis
Hypnum_curvifolium_1	Hypnum
Hypnum_curvifolium_3	Hypnum
Hypnum_curvifolium_2	Hypnum
Hypnum_curvifolium_9	Hypnum
Hypnum_curvifolium_4	Hypnum
Hypnum_curvifolium_11	Hypnum
Hypnum_curvifolium_6	Hypnum
Marchantia_polymorpha_2	Marchantia
Marchantia_polymorpha_1	Marchantia
Penium_margaritaceum_1	Penium
Penium_margaritaceum_2	Penium
Physcomitrium_patens_5	Physcomitrium
Physcomitrium_patens_7	Physcomitrium
Physcomitrium_patens_1	Physcomitrium
Physcomitrium_patens_6	Physcomitrium
Physcomitrium_patens_2	Physcomitrium
Physcomitrium_patens_3	Physcomitrium
Physcomitrium_patens_4	Physcomitrium
Sphagnum_fallax_2	Sphagnum
Sphagnum_fallax_3	Sphagnum
Sphagnum_fallax_1	Sphagnum
Sphagnum_fallax_5	Sphagnum
Sphagnum_fallax_6	Sphagnum
Sphagnum_fallax_4	Sphagnum
Sphagnum_magellanicum_4	Sphagnum
Sphagnum_magellanicum_2	Sphagnum
Sphagnum_magellanicum_1	Sphagnum
Sphagnum_magellanicum_3	Sphagnum
Sphagnum_magellanicum_6	Sphagnum
Sphagnum_magellanicum_5	Sphagnum
Takakia_lepidozioides_1	Takakia
Takakia_lepidozioides_2	Takakia
