Sample	Order	Genus	Species	Info
Andreaea_rupestris	Andreaeales	Andreaea	rupestris	n.a.
Anomodon_rostratus_1	Hypnales	Anomodon	rostratus 	n.a.
Anomodon_rostratus_2	Hypnales	Anomodon	rostratus 	n.a.
Anomodon_rostratus_3	Hypnales	Anomodon	rostratus 	n.a.
Anomodon_rostratus_4	Hypnales	Anomodon	rostratus 	n.a.
Anthoceros_agrestis	Anthocerotales	Anthoceros	agrestis	n.a.
Anthoceros_angustus	Anthocerotales	Anthoceros	angustus	n.a.
Anthoceros_punctatus	Anthocerotales	Anthoceros	punctatus	n.a.
Antitrichia_curtipendula_1	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_2	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_3	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_4	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_5	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_6	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_7	Hypnales	Antitrichia	curtipendula 	n.a.
Antitrichia_curtipendula_8	Hypnales	Antitrichia	curtipendula 	n.a.
Atrichum_angustatum_1	Polytrichales	Atrichum	angustatum 	n.a.
Atrichum_angustatum_2	Polytrichales	Atrichum	angustatum 	n.a.
Atrichum_angustatum_3	Polytrichales	Atrichum	angustatum 	n.a.
Atrichum_angustatum_4	Polytrichales	Atrichum	angustatum 	n.a.
Aulacomnium_heterostichum_1	Rhizogoniales	Aulacomnium	heterostichum 	n.a.
Aulacomnium_heterostichum_2	Rhizogoniales	Aulacomnium	heterostichum 	n.a.
Aulacomnium_heterostichum_3	Rhizogoniales	Aulacomnium	heterostichum 	n.a.
Aulacomnium_heterostichum_4	Rhizogoniales	Aulacomnium	heterostichum 	n.a.
Aulacomnium_palustre_1	Rhizogoniales	Aulacomnium	palustre 	n.a.
Aulacomnium_palustre_2	Rhizogoniales	Aulacomnium	palustre 	n.a.
Aulacomnium_palustre_3	Rhizogoniales	Aulacomnium	palustre 	n.a.
Aulacomnium_palustre_4	Rhizogoniales	Aulacomnium	palustre 	n.a.
Aulacomnium_turgidum_1	Rhizogoniales	Aulacomnium	turgidum 	n.a.
Aulacomnium_turgidum_3	Rhizogoniales	Aulacomnium	turgidum 	n.a.
Brachythecium_rivulare_1	Hypnales	Brachythecium	rivulare 	n.a.
Brachythecium_rivulare_2	Hypnales	Brachythecium	rivulare 	n.a.
Brachythecium_rivulare_3	Hypnales	Brachythecium	rivulare 	n.a.
Brachythecium_rivulare_4	Hypnales	Brachythecium	rivulare 	n.a.
Bryoandersonia_illecebra_1	Hypnales	Bryoandersonia	illecebra 	n.a.
Bryoandersonia_illecebra_2	Hypnales	Bryoandersonia	illecebra 	n.a.
Bryoandersonia_illecebra_4	Hypnales	Bryoandersonia	illecebra 	n.a.
Bryoandersonia_illecebra_5	Hypnales	Bryoandersonia	illecebra 	n.a.
Bryoandersonia_illecebra_6	Hypnales	Bryoandersonia	illecebra 	n.a.
Bryum_argenteum_1	Bryales	Bryum	argenteum 	n.a.
Bryum_argenteum_2	Bryales	Bryum	argenteum 	n.a.
Bryum_argenteum_3	Bryales	Bryum	argenteum 	n.a.
Buxbaumia_aphylla	Buxbaumiales	Buxbaumia	aphylla	n.a.
Callicladium_haldanianum_1	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_haldanianum_2	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_haldanianum_3	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_haldanianum_4	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_haldanianum_5	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_haldanianum_6	Hypnales	Callicladium	haldanianum 	n.a.
Callicladium_imponens_1	Hypnales	Callicladium	imponens 	n.a.
Callicladium_imponens_2	Hypnales	Callicladium	imponens 	n.a.
Callicladium_imponens_3	Hypnales	Callicladium	imponens 	n.a.
Callicladium_imponens_4	Hypnales	Callicladium	imponens 	n.a.
Calliergon_cordifolium_1	Hypnales	Calliergon	cordifolium 	n.a.
Calliergon_cordifolium_2	Hypnales	Calliergon	cordifolium 	n.a.
Calliergon_cordifolium_3	Hypnales	Calliergon	cordifolium 	n.a.
Calliergon_cordifolium_4	Hypnales	Calliergon	cordifolium 	n.a.
Calliergon_giganteum_1	Hypnales	Calliergon	giganteum 	n.a.
Calliergon_giganteum_2	Hypnales	Calliergon	giganteum 	n.a.
Calliergon_giganteum_3	Hypnales	Calliergon	giganteum 	n.a.
Calliergon_giganteum_4	Hypnales	Calliergon	giganteum 	n.a.
Calliergon_giganteum_5	Hypnales	Calliergon	giganteum 	n.a.
Calohypnum_plumiforme_1	Hypnales	Calohypnum	plumiforme 	n.a.
Calohypnum_plumiforme_2	Hypnales	Calohypnum	plumiforme 	n.a.
Calohypnum_plumiforme_3	Hypnales	Calohypnum	plumiforme 	n.a.
Calohypnum_plumiforme_4	Hypnales	Calohypnum	plumiforme 	n.a.
Campyliadelphus_chrysophyllus_1	Hypnales	Campyliadelphus	chrysophyllus 	n.a.
